"","genes","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"uc001wtz.2","SLC25A21",1.7736784366287,5.25565311983017,3.6795146282646,0.000913288757163318,0.00371781263977988,-0.795339690741534
"uc001xbi.1","GCH1",1.06684975759645,6.69615783473555,3.78008640139426,0.000695864061629618,0.00299156512476284,-0.827671348657121
"uc010tnc.2","OXA1L",-0.981783306476634,7.2693213281972,-3.7825326995853,0.000691260807001146,0.00299156512476284,-0.840155599876864
"uc001xvj.3","BC040628",-1.93957808246327,5.03051612838193,-3.58527965398972,0.00117614698535844,0.00462416763474257,-0.898712153670583
"uc001xzq.1","SMEK1",1.32798756465514,5.81343811744847,3.68177620787108,0.000907741168051234,0.00371781263977988,-0.906080163942563
"uc021rtz.1","FLJ22447",-2.14557597126367,3.57604326722706,-3.54553564816081,0.00130781869978866,0.00505543362943517,-0.965639454836237
"uc010tuo.2","ENTPD5",0.842402860341078,7.50406283269821,3.76200354731348,0.000730830679046655,0.00308423956294919,-1.01917676875869
"uc001yqz.1","MTA1",-1.34126782708879,6.31412484567831,-3.60732375081926,0.00110875584311101,0.00439679041233675,-1.02117146387165
"uc001xoh.1","NUMB",1.97457301974938,3.60748561310155,3.49960734336585,0.00147779465435082,0.00548214145968853,-1.10233990048294
"uc001xtq.1","SAMD15",-2.01570879222831,3.51536491383077,-3.47681780203146,0.0015698838621501,0.00568619351644917,-1.12670433728338
"uc001ynj.2","BAG5",-2.01570879222831,3.51536491383077,-3.47681780203146,0.0015698838621501,0.00568619351644917,-1.12670433728338
"uc001xlr.2","SLC10A1",1.82383965544657,3.71348522642092,3.49121968760185,0.00151106358245083,0.00556071398341907,-1.13637806728443
"uc010tlk.2","METTL17",1.6134621517323,4.92451651506257,3.51886153701828,0.00140408275039086,0.00530669695890286,-1.15569818507302
"uc001war.2","CHD8",-0.393801619411951,11.4771986888682,-3.9099621986691,0.000488503608559401,0.00220305548958161,-1.3827497894713
"uc001wjz.3","NGDN",1.8240801801081,3.51536491383077,3.38396946979321,0.00200571628721677,0.00688529471731129,-1.39247312334992
"uc001vwv.4","CCNB1IP1",1.84570271097594,3.62136452715014,3.37118565084311,0.00207418170795919,0.00702760910600555,-1.40149835028156
"uc001way.3","TOX4",1.85194570193399,3.7741635798172,3.35631440238919,0.00215665943629371,0.00724133825324895,-1.43646411987353
